Assembly_No,Total_Candidates,Contesting_Incumbents,Successful_Incumbents,Total_Seats,Turncoats,Successful_Turncoats,Recontesting_Candidates,First_Contests,Second_Contests,Multiple_Contests,No_first_time_winners,First_Contest_Winners,Year,Recontesting_Candidates_pct,First_Contests_pct,Second_Contests_pct,Multiple_Contests_pct,Contesting_Incumbents_pct,Successful_Incumbents_pct,No_first_time_winners_pct,First_Contest_Winners_pct,Incumbent_Strike_Rate,Turncoat_Strike_Rate
14,412,57,32,68,6,2,121,268,56,88,24,14,2022,29.37,65.05,13.59,21.36,83.82,47.06,35.29,20.59,56.14,33.33
13,338,57,27,68,13,3,141,178,62,98,24,11,2017,41.72,52.66,18.34,28.99,83.82,39.71,35.29,16.18,47.37,23.08
12,459,63,30,68,25,3,131,295,58,106,24,14,2012,28.54,64.27,12.64,23.09,92.65,44.12,35.29,20.59,47.62,12
11,336,58,27,68,27,4,133,178,57,101,22,11,2007,39.58,52.98,16.96,30.06,85.29,39.71,32.35,16.18,46.55,14.81
10,408,63,31,68,22,2,137,228,67,113,23,16,2003,33.58,55.88,16.42,27.7,92.65,45.59,33.82,23.53,49.21,9.09
9,369,60,35,68,32,5,135,193,61,115,19,11,1998,36.59,52.3,16.53,31.17,88.24,51.47,27.94,16.18,58.33,15.62
8,416,58,17,68,16,5,146,225,68,123,23,12,1993,35.1,54.09,16.35,29.57,85.29,25,33.82,17.65,29.31,31.25
7,446,56,12,67,13,8,133,273,72,101,25,12,1990,29.82,61.21,16.14,22.65,83.58,17.91,37.31,17.91,21.43,61.54
6,294,53,27,68,6,1,119,151,56,87,35,24,1985,40.48,51.36,19.05,29.59,77.94,39.71,51.47,35.29,50.94,16.67
5,441,56,35,68,44,24,131,280,92,69,26,17,1982,29.71,63.49,20.86,15.65,82.35,51.47,38.24,25,62.5,54.55
4,330,41,11,68,14,13,110,220,103,7,57,36,1977,33.33,66.67,31.21,2.12,60.29,16.18,83.82,52.94,26.83,92.86
3,297,7,4,68,2,0,11,286,11,0,64,64,1972,3.7,96.3,3.7,0,10.29,5.88,94.12,94.12,57.14,0
2,269,0,0,60,0,0,0,269,0,0,60,60,1967,0,100,0,0,0,0,100,100,0,0
