Assembly_No,MyNeta_education,MLAs_var
16,10th Pass,27
16,12th Pass,17
16,5th Pass,1
16,8th Pass,7
16,Doctorate,4
16,Graduate,25
16,Graduate Professional,39
16,Others,1
16,Post Graduate,15
16,Unknown,4
15,10th Pass,21
15,12th Pass,18
15,5th Pass,4
15,8th Pass,11
15,Doctorate,1
15,Graduate,23
15,Graduate Professional,32
15,Literate,2
15,Others,1
15,Post Graduate,24
15,Unknown,3
14,10th Pass,23
14,12th Pass,16
14,5th Pass,1
14,8th Pass,1
14,Doctorate,2
14,Graduate,23
14,Graduate Professional,23
14,Others,2
14,Post Graduate,9
14,Unknown,40
13,10th Pass,13
13,12th Pass,8
13,5th Pass,1
13,8th Pass,1
13,Doctorate,1
13,Graduate,16
13,Graduate Professional,20
13,Post Graduate,10
13,Unknown,70
