Assembly_No,Party_ID,MyNeta_education,MLAs_var_Party,Party_MLAs,Year,Party,pty_mla_var_perc
14,1605,12th Pass,3,12,2023,BJP,25
14,1605,8th Pass,1,12,2023,BJP,8.33
14,1605,Graduate,5,12,2023,BJP,41.67
14,1605,Graduate Professional,1,12,2023,BJP,8.33
14,1605,Illiterate,1,12,2023,BJP,8.33
14,1605,Post Graduate,1,12,2023,BJP,8.33
14,10809,10th Pass,1,4,2023,IND,25
14,10809,Graduate Professional,1,4,2023,IND,25
14,10809,Post Graduate,2,4,2023,IND,50
14,11002,Graduate Professional,1,1,2023,Janata Dal(United),100
14,25146,Graduate,1,2,2023,Lok Janshakti Party(Ram Vilas),50
14,25146,Post Graduate,1,2,2023,Lok Janshakti Party(Ram Vilas),50
14,5792,Graduate,4,7,2023,NCP,57.14
14,5792,Others,2,7,2023,NCP,28.57
14,5792,Post Graduate,1,7,2023,NCP,14.29
14,5798,10th Pass,1,25,2023,NDPP,4
14,5798,12th Pass,4,25,2023,NDPP,16
14,5798,8th Pass,3,25,2023,NDPP,12
14,5798,Doctorate,1,25,2023,NDPP,4
14,5798,Graduate,7,25,2023,NDPP,28
14,5798,Graduate Professional,1,25,2023,NDPP,4
14,5798,Post Graduate,8,25,2023,NDPP,32
14,5552,12th Pass,1,2,2023,NPF,50
14,5552,Graduate Professional,1,2,2023,NPF,50
14,5671,8th Pass,2,5,2023,NPP,40
14,5671,Graduate,2,5,2023,NPP,40
14,5671,Post Graduate,1,5,2023,NPP,20
14,24545,Graduate,2,2,2023,RPI(A),100
13,1605,12th Pass,2,12,2018,BJP,16.67
13,1605,8th Pass,1,12,2018,BJP,8.33
13,1605,Graduate,6,12,2018,BJP,50
13,1605,Graduate Professional,2,12,2018,BJP,16.67
13,1605,Post Graduate,1,12,2018,BJP,8.33
13,10809,Graduate,1,1,2018,IND,100
13,11002,8th Pass,1,1,2018,JD(U),100
13,5798,10th Pass,1,18,2018,NDPP,5.56
13,5798,12th Pass,1,18,2018,NDPP,5.56
13,5798,8th Pass,1,18,2018,NDPP,5.56
13,5798,Graduate,8,18,2018,NDPP,44.44
13,5798,Graduate Professional,3,18,2018,NDPP,16.67
13,5798,Post Graduate,4,18,2018,NDPP,22.22
13,5671,8th Pass,1,2,2018,NPEP,50
13,5671,Post Graduate,1,2,2018,NPEP,50
13,5552,10th Pass,3,26,2018,NPF,11.54
13,5552,12th Pass,6,26,2018,NPF,23.08
13,5552,8th Pass,2,26,2018,NPF,7.69
13,5552,Doctorate,2,26,2018,NPF,7.69
13,5552,Graduate,7,26,2018,NPF,26.92
13,5552,Graduate Professional,1,26,2018,NPF,3.85
13,5552,Illiterate,1,26,2018,NPF,3.85
13,5552,Post Graduate,4,26,2018,NPF,15.38
12,1605,Graduate,1,1,2013,BJP,100
12,3482,10th Pass,2,8,2013,INC,25
12,3482,Doctorate,1,8,2013,INC,12.5
12,3482,Graduate,4,8,2013,INC,50
12,3482,Graduate Professional,1,8,2013,INC,12.5
12,10809,10th Pass,2,8,2013,IND,25
12,10809,12th Pass,1,8,2013,IND,12.5
12,10809,Graduate,4,8,2013,IND,50
12,10809,Graduate Professional,1,8,2013,IND,12.5
12,11002,Post Graduate,1,1,2013,JD(U),100
12,5792,8th Pass,1,4,2013,NCP,25
12,5792,Graduate,1,4,2013,NCP,25
12,5792,Graduate Professional,1,4,2013,NCP,25
12,5792,Post Graduate,1,4,2013,NCP,25
12,5552,10th Pass,3,38,2013,NPF,7.89
12,5552,12th Pass,4,38,2013,NPF,10.53
12,5552,8th Pass,3,38,2013,NPF,7.89
12,5552,Doctorate,1,38,2013,NPF,2.63
12,5552,Graduate,18,38,2013,NPF,47.37
12,5552,Graduate Professional,5,38,2013,NPF,13.16
12,5552,Illiterate,1,38,2013,NPF,2.63
12,5552,Post Graduate,3,38,2013,NPF,7.89
11,1605,12th Pass,1,2,2008,BJP,50
11,1605,Graduate,1,2,2008,BJP,50
11,3482,10th Pass,7,23,2008,INC,30.43
11,3482,8th Pass,2,23,2008,INC,8.7
11,3482,Graduate,7,23,2008,INC,30.43
11,3482,Graduate Professional,2,23,2008,INC,8.7
11,3482,Post Graduate,3,23,2008,INC,13.04
11,3482,Unknown,2,23,2008,INC,8.7
11,10809,12th Pass,1,7,2008,IND,14.29
11,10809,8th Pass,1,7,2008,IND,14.29
11,10809,Graduate,1,7,2008,IND,14.29
11,10809,Graduate Professional,1,7,2008,IND,14.29
11,10809,Post Graduate,2,7,2008,IND,28.57
11,10809,Unknown,1,7,2008,IND,14.29
11,5792,Graduate,1,2,2008,NCP,50
11,5792,Graduate Professional,1,2,2008,NCP,50
11,5552,10th Pass,3,26,2008,NPF,11.54
11,5552,12th Pass,2,26,2008,NPF,7.69
11,5552,8th Pass,1,26,2008,NPF,3.85
11,5552,Graduate,10,26,2008,NPF,38.46
11,5552,Graduate Professional,4,26,2008,NPF,15.38
11,5552,Post Graduate,4,26,2008,NPF,15.38
11,5552,Unknown,2,26,2008,NPF,7.69
