State_Name,Assembly_No,Year,Total_Candidates,Deposit_Lost
Andaman_&_Nicobar_Islands,17,2019,15,13
Andhra_Pradesh,17,2019,2233,1866
Arunachal_Pradesh,17,2019,366,253
Assam,17,2019,1325,1058
Bihar,17,2019,3812,3320
Chandigarh,17,2019,36,34
Chhattisgarh,17,2019,1374,1193
Dadra_&_Nagar_Haveli,17,2019,11,9
Daman_&_Diu,17,2019,8,3
Delhi,17,2019,1640,1478
Goa,17,2019,240,162
Gujarat,17,2019,2597,2237
Haryana,17,2019,2007,1832
Himachal_Pradesh,17,2019,765,629
Jammu_&_Kashmir,17,2019,1342,1169
Jharkhand,17,2019,1318,1160
Karnataka,17,2019,3824,3376
Kerala,17,2019,1589,1261
Lakshadweep,17,2019,6,4
Lok_Sabha,17,2019,58757,50213
Madhya_Pradesh,17,2019,3469,3009
Maharashtra,17,2019,5202,4605
Manipur,17,2019,576,447
Meghalaya,17,2019,288,163
Mizoram,17,2019,240,158
Nagaland,17,2019,240,125
Odisha,17,2019,1218,873
Puducherry,17,2019,540,481
Punjab,17,2019,2502,2226
Rajasthan,17,2019,1992,1590
Sikkim,17,2019,341,279
Tamil_Nadu,17,2019,4932,4490
Telangana,17,2019,3101,2830
Tripura,17,2019,690,540
Uttar_Pradesh,17,2019,4928,4107
Uttarakhand,17,2019,728,583
West_Bengal,17,2019,3262,2650
Andaman_&_Nicobar_Islands,16,2014,15,13
Andhra_Pradesh,16,2014,4186,3543
Arunachal_Pradesh,16,2014,345,218
Assam,16,2014,1478,1182
Bihar,16,2014,3688,3113
Chandigarh,16,2014,17,14
Chhattisgarh,16,2014,1750,1568
Dadra_&_Nagar_Haveli,16,2014,11,9
Daman_&_Diu,16,2014,4,2
Delhi,16,2014,1500,1339
Goa,16,2014,380,300
Gujarat,16,2014,2338,1982
Haryana,16,2014,2070,1871
Himachal_Pradesh,16,2014,646,510
Jammu_&_Kashmir,16,2014,1247,1070
Jharkhand,16,2014,1391,1207
Karnataka,16,2014,3472,2988
Kerala,16,2014,1883,1589
Lakshadweep,16,2014,6,4
Lok_Sabha,16,2014,59927,50740
Madhya_Pradesh,16,2014,2997,2523
Maharashtra,16,2014,5382,4792
Manipur,16,2014,536,411
Meghalaya,16,2014,336,192
Mizoram,16,2014,120,40
Nagaland,16,2014,180,72
Odisha,16,2014,1372,1020
Puducherry,16,2014,900,836
Punjab,16,2014,2277,1975
Rajasthan,16,2014,2560,2140
Sikkim,16,2014,192,124
Tamil_Nadu,16,2014,5070,4492
Tripura,16,2014,750,669
Uttar_Pradesh,16,2014,6488,5484
Uttarakhand,16,2014,1036,893
West_Bengal,16,2014,3304,2555
Andaman_&_Nicobar_Islands,15,2009,11,9
Andhra_Pradesh,15,2009,3983,3269
Arunachal_Pradesh,15,2009,240,126
Assam,15,2009,1419,1123
Bihar,15,2009,4092,3550
Chandigarh,15,2009,56,46
Chhattisgarh,15,2009,1471,1275
Dadra_&_Nagar_Haveli,15,2009,5,3
Daman_&_Diu,15,2009,14,10
Delhi,15,2009,1600,1457
Goa,15,2009,360,280
Gujarat,15,2009,2513,2141
Haryana,15,2009,1890,1675
Himachal_Pradesh,15,2009,527,391
Jammu_&_Kashmir,15,2009,1347,1166
Jharkhand,15,2009,1455,1262
Karnataka,15,2009,3416,2918
Kerala,15,2009,1519,1234
Lakshadweep,15,2009,4,2
Lok_Sabha,15,2009,58311,49169
Madhya_Pradesh,15,2009,3383,2896
Maharashtra,15,2009,4914,4264
Manipur,15,2009,476,355
Meghalaya,15,2009,348,207
Mizoram,15,2009,160,82
Nagaland,15,2009,180,70
Odisha,15,2009,1099,757
Puducherry,15,2009,840,780
Punjab,15,2009,1962,1719
Rajasthan,15,2009,2768,2351
Sikkim,15,2009,217,158
Tamil_Nadu,15,2009,4938,4445
Tripura,15,2009,570,452
Uttar_Pradesh,15,2009,6894,5813
Uttarakhand,15,2009,1064,902
West_Bengal,15,2009,2576,1981
Andhra_Pradesh,14,2004,1953,1354
Arunachal_Pradesh,14,2004,393,273
Assam,14,2004,1042,737
Bihar,14,2004,2811,2283
Chhattisgarh,14,2004,831,643
Delhi,14,2004,1819,1655
Goa,14,2004,322,246
Gujarat,14,2004,1131,764
Haryana,14,2004,1440,1236
Himachal_Pradesh,14,2004,391,255
Jammu_&_Kashmir,14,2004,1385,1196
Jharkhand,14,2004,1049,865
Karnataka,14,2004,1376,857
Kerala,14,2004,1239,935
Lok_Sabha,14,2004,39975,30985
Madhya_Pradesh,14,2004,2336,1846
Maharashtra,14,2004,2472,1870
Manipur,14,2004,360,217
Meghalaya,14,2004,156,27
Mizoram,14,2004,120,40
Nagaland,14,2004,300,195
Odisha,14,2004,700,391
Puducherry,14,2004,630,568
Punjab,14,2004,1278,1010
Rajasthan,14,2004,1480,1068
Sikkim,14,2004,128,66
Tamil_Nadu,14,2004,3426,2952
Tripura,14,2004,360,268
Uttar_Pradesh,14,2004,5734,4628
Uttarakhand,14,2004,828,665
West_Bengal,14,2004,2485,1875
Andhra_Pradesh,13,1999,1995,1388
Arunachal_Pradesh,13,1999,180,55
Assam,13,1999,1037,731
Bihar,13,1999,2982,2280
Delhi,13,1999,1220,1052
Goa,13,1999,320,241
Gujarat,13,1999,1114,748
Haryana,13,1999,1026,839
Himachal_Pradesh,13,1999,374,239
Jammu_&_Kashmir,13,1999,1328,1146
Karnataka,13,1999,1040,545
Kerala,13,1999,994,707
Lok_Sabha,13,1999,33858,24786
Madhya_Pradesh,13,1999,2708,2030
Maharashtra,13,1999,1566,852
Manipur,13,1999,532,398
Meghalaya,13,1999,444,316
Mizoram,13,1999,280,198
Nagaland,13,1999,300,199
Odisha,13,1999,735,435
Puducherry,13,1999,270,189
Punjab,13,1999,1080,820
Rajasthan,13,1999,1320,906
Sikkim,13,1999,128,60
Tamil_Nadu,13,1999,2172,1660
Tripura,13,1999,510,376
Uttar_Pradesh,13,1999,6040,4852
West_Bengal,13,1999,2163,1524
